,0.2,0.4,0.6,0.8,1,1.2
417,-257334,-12148,-38802,-199698,34854,942
418,-258232,-12120,-39080,-200458,34576,1342
419,-259508,-12272,-39718,-201226,34642,1540
420,-260206,-12414,-39592,-202510,34740,1598
421,-260734,-11904,-39424,-203210,35306,2022
422,-261776,-11838,-40268,-203902,35308,2048
423,-262750,-12430,-40712,-204710,35826,2592
424,-262624,-12836,-40930,-205838,36122,3136
425,-264274,-12976,-40460,-206802,36866,3298
426,-264950,-12966,-40820,-207242,37018,3506
427,-265270,-12484,-42044,-207358,36812,3938
428,-266136,-12866,-42094,-208086,36306,3898
429,-265986,-12608,-42532,-208758,36202,4326
430,-266762,-12762,-42224,-209442,35456,4964
431,-267746,-12846,-41942,-210414,35678,5090
432,-268150,-12628,-42366,-211250,35308,4930
433,-268620,-12772,-43350,-213586,35180,4662
434,-268956,-13056,-43588,-214250,35980,4472
435,-269954,-13488,-44458,-214614,36492,4722
436,-271312,-13706,-44628,-215730,36248,4704
437,-272722,-13188,-44678,-216274,36734,4968
438,-273442,-13164,-45068,-216902,36888,4882
439,-274026,-12774,-45768,-218106,36746,5418
440,-274848,-12870,-45732,-218478,36810,4906
441,-275622,-13198,-45856,-219334,36756,4802
442,-276442,-13186,-45726,-221394,36488,5050
443,-277170,-13422,-45624,-222470,36456,4918
444,-277894,-13312,-45380,-223374,36228,4790
445,-278974,-12644,-45356,-224402,35778,4466
446,-279670,-12186,-45028,-225794,35696,4444
447,-280336,-12174,-46292,-226606,36758,4746
448,-281904,-12440,-45748,-227306,36638,4444
449,-282044,-12414,-46308,-227486,37168,4408
450,-281750,-11680,-46742,-229234,37192,4556
451,-282256,-11600,-46902,-230406,38090,4536
452,-283144,-11704,-47524,-231422,38448,4446
453,-284572,-11182,-46990,-232374,37968,4610
454,-285834,-11818,-47782,-232862,38114,5018
455,-286428,-12654,-47918,-234566,38106,4864
456,-287444,-12230,-47814,-234914,36884,4940
457,-287888,-12386,-48730,-236090,36980,5496
458,-289006,-11900,-49224,-236622,36744,6052
459,-290422,-11008,-49500,-237470,37260,6578
460,-291358,-10926,-50390,-237622,37234,7288
461,-291734,-11188,-49724,-238474,38096,6898
