,0.2,0.4,0.6,0.8,1,1.2
317,-476,10928,-14418,-16078,-17284,17476
318,-616,10530,-15018,-16122,-17346,17362
319,-692,10320,-14858,-16274,-17246,16910
320,-920,10204,-14688,-16034,-16926,16922
321,-890,10572,-14924,-15984,-16818,17218
322,-614,10598,-14746,-16024,-16956,17534
323,-616,10544,-14964,-16268,-16978,17522
324,-506,10294,-14604,-15998,-17168,17570
325,-460,10282,-14840,-16054,-17018,17326
326,-858,10338,-14792,-16276,-17028,16732
327,-916,10328,-14518,-15962,-17018,17122
328,-1244,10146,-14938,-16570,-17240,17426
329,-1074,10434,-14684,-15964,-16920,17342
330,-1222,10570,-14798,-16360,-17110,17260
331,-1302,10144,-14822,-16392,-17162,17510
332,-956,10772,-15086,-16294,-17260,17632
333,-504,11134,-14830,-16032,-17078,17332
334,-384,11242,-14476,-15814,-16916,17184
335,334,11394,-14200,-16028,-16712,17502
336,562,11058,-14270,-15706,-16618,17674
337,318,10958,-14362,-15948,-16858,17324
338,40,10922,-14518,-15772,-16858,17302
339,-186,11114,-14596,-15920,-16962,17436
340,-200,11170,-14400,-16210,-17044,17444
341,-348,11112,-14434,-16366,-16842,17286
342,-620,10934,-14510,-16264,-16916,17396
343,-580,10952,-14428,-16194,-16950,17408
344,-824,10570,-14580,-15944,-17168,17514
345,-822,10088,-14786,-16404,-17240,17250
346,-692,10134,-14678,-16410,-16892,17648
347,-1078,10482,-14406,-16326,-17014,17406
348,-538,10674,-14460,-16224,-17066,17502
349,-632,10630,-14654,-16224,-16922,17344
350,-248,11038,-14908,-15986,-17372,17520
351,56,11050,-14714,-16090,-16884,17684
352,-48,10962,-14498,-16094,-16884,17574
353,-26,10814,-14098,-16142,-16996,17488
354,4,10694,-14288,-16134,-16842,17540
355,-14,10506,-14818,-16404,-17184,17810
356,310,10690,-15000,-16248,-17128,17266
357,410,10662,-14650,-16072,-16766,17546
358,622,10888,-14210,-15788,-16750,17418
359,642,11306,-14126,-15756,-16668,17702
360,1198,11782,-13994,-15638,-16662,17722
361,424,11230,-14374,-15904,-16488,17468
362,464,10816,-14408,-16254,-16970,17402
363,-14,10508,-14342,-16140,-16814,17764
364,150,10568,-14520,-15638,-16566,17612
365,460,11168,-14342,-15796,-16560,17620
366,750,11320,-14482,-15984,-17020,17486
367,1208,11424,-14392,-15882,-16648,17214
368,1074,11334,-14388,-16198,-16912,17528
369,66,10366,-14698,-16562,-17290,17472
370,710,10852,-14370,-16308,-17182,17454
371,674,11036,-14600,-16012,-16900,17688
372,502,10696,-14864,-16064,-17018,17294
373,222,10894,-14350,-15982,-16882,17426
374,502,11210,-14134,-15970,-16722,17232
375,424,11144,-14354,-16168,-17068,17294
376,212,10756,-14534,-16426,-16936,17430
377,-2,10606,-14796,-16210,-16644,17454
378,550,11298,-14220,-16058,-16600,17556
379,192,10826,-14346,-16022,-16832,17550
380,142,10868,-14562,-16194,-16720,17526
381,-70,10486,-15062,-16324,-17078,17478
382,208,10828,-14346,-16054,-16898,17664
383,112,10818,-14346,-16018,-16976,17580
384,318,10696,-14808,-16106,-17182,17434
385,-38,10462,-15028,-16232,-17208,17250
386,28,10704,-14732,-16054,-17388,17178
387,-202,10526,-14904,-16482,-17376,17188
388,-146,10742,-14234,-16248,-17184,17172
389,356,10894,-14460,-15808,-16886,17352
390,32,10844,-14750,-16296,-16988,17474
391,56,10920,-14830,-16578,-16852,17638
392,-680,10408,-14786,-16296,-17198,17398
393,-1120,10160,-14814,-16462,-17442,16914
394,-980,10742,-14562,-16078,-16912,17250
395,-770,10854,-14376,-15926,-17236,17450
396,-442,11064,-14772,-16116,-17294,17298
397,-422,10876,-14586,-15876,-16762,16980
398,-390,10506,-14442,-16066,-16690,17350
399,-240,10720,-14496,-16464,-16516,17908
400,-688,10292,-14518,-16174,-16650,17570
401,-354,10464,-14854,-16308,-17188,17170
402,14,10994,-14554,-15966,-17214,17568
403,230,11278,-14352,-15692,-16758,17652
404,320,11266,-14410,-16090,-16700,17484
405,-16,11294,-14218,-16086,-17064,17406
406,112,11018,-14496,-16224,-17094,17524
407,-224,10732,-14742,-16690,-17140,17308
408,-332,10380,-14764,-16266,-16972,17394
409,-488,9944,-14986,-16202,-16878,17264
410,-334,10750,-14502,-15902,-16998,17560
411,-86,11062,-14572,-15868,-16874,17370
412,-230,10972,-14558,-16092,-16908,17708
413,-158,10778,-14554,-15772,-16704,17508
414,-456,10624,-14690,-15838,-16642,17256
415,-920,10524,-14912,-15906,-16682,17334
416,-926,10318,-14996,-16066,-16840,17112
417,-1328,10234,-14874,-16100,-16774,17168
418,-1100,10478,-14520,-15778,-16424,17834
419,-648,10566,-14172,-16144,-16720,17938
420,-698,10706,-14452,-16224,-16964,17542
421,-744,10570,-14368,-16288,-17068,17320
422,-486,10860,-14258,-16126,-17112,17288
423,-88,10930,-13940,-15976,-16638,17782
424,-82,11082,-14010,-15802,-16894,17424
425,-88,10962,-14116,-15966,-17016,17554
426,-78,10800,-14836,-16432,-17130,17602
427,262,10876,-14312,-16392,-16986,17128
428,140,10958,-14304,-16244,-16992,17426
429,318,11206,-14470,-16144,-17000,17400
430,110,10664,-14750,-15766,-16830,17292
431,78,10294,-14848,-15974,-16948,17186
432,390,10826,-14190,-16212,-16592,17288
433,46,10554,-14022,-16188,-16626,17448
434,170,10662,-14224,-15746,-16904,17464
435,-200,10750,-14752,-16066,-17172,17458
436,-762,10568,-14432,-16256,-17078,17660
437,-552,11036,-14392,-16292,-16928,17500
438,-840,10530,-14568,-16376,-17054,17512
439,-934,10114,-14560,-16302,-17008,17410
440,-494,10862,-14736,-16050,-17010,17876
441,-392,10544,-14756,-16226,-17132,17450
442,-118,10828,-14230,-15916,-16876,17740
443,-132,11220,-14276,-16106,-16842,17480
444,-16,11272,-13952,-16130,-16944,17808
445,386,11294,-14156,-15870,-16990,17570
446,-184,10610,-14582,-16008,-17196,17304
447,184,11028,-14280,-16036,-16772,17170
448,402,11114,-14042,-16260,-16844,17302
449,254,11232,-14788,-16166,-17124,17268
450,572,11312,-14574,-15890,-16738,17446
451,352,11126,-14720,-15988,-16904,17576
452,-304,10590,-14916,-16604,-17032,17592
453,-778,9852,-15312,-16544,-17304,17366
454,-284,10344,-14570,-16170,-16708,17602
455,78,10924,-14126,-15804,-16736,17608
456,600,11524,-13824,-15650,-16396,17728
457,824,11072,-14198,-16136,-17004,17330
458,572,11122,-14272,-16066,-17120,17564
459,470,10850,-14478,-15778,-16866,17566
460,450,10778,-14128,-15826,-17026,17342
461,448,11310,-14020,-15936,-17062,17596
462,348,11138,-14678,-15898,-16954,17642
463,638,11278,-14820,-16020,-16766,17752
464,460,11314,-14470,-15856,-16924,17726
465,288,11084,-14376,-16148,-16738,17700
466,210,10548,-14774,-16106,-16824,17474
467,318,11000,-14620,-16092,-17110,17412
468,562,11344,-14252,-16002,-17188,17316
469,484,11034,-14400,-15656,-16926,17364
470,600,10932,-14670,-15684,-16696,17482
471,298,10660,-14622,-15874,-17256,17310
472,-268,10346,-15030,-16048,-17156,17304
473,-194,10662,-15288,-16376,-17054,17482
474,506,11116,-14442,-16246,-16826,17606
475,-120,10236,-14842,-16506,-16596,17284
476,-312,10558,-15062,-15992,-16684,17426
477,-482,10516,-14888,-16232,-16766,17262
478,-134,10930,-14272,-16456,-16904,17896
479,-278,10872,-14408,-16314,-16934,17618
480,-34,10870,-14334,-15956,-16824,17638
481,-108,10700,-14640,-16252,-17098,17618
482,22,10948,-14546,-16236,-16958,17456
483,228,11186,-14408,-15698,-16904,17584
484,338,11216,-14408,-15766,-16932,17518
485,566,11282,-14430,-15718,-16878,17438
486,272,10992,-14726,-16056,-16982,17382
487,28,11320,-14354,-15762,-16940,17688
488,286,11008,-14676,-16026,-16918,17686
489,440,10834,-14620,-16076,-16846,17602
490,524,10732,-14928,-16388,-16914,17168
491,686,11290,-14598,-16272,-16832,17472
492,862,11542,-14296,-16102,-16694,17562
493,878,11430,-14246,-16180,-16774,17656
494,622,10746,-14556,-16244,-17004,17300
495,706,10776,-14502,-16012,-16700,17382
